ID	deletion_rate	predictability_weight	AICRaw	AIC	AICFull	N	None
41	944962669	0.45	0	4380.122	4389.722	3885.182	4439	
42	608933959	0.6	0.75	4409.703	4410.931	3896.316	4439	
43	502149931	0.5	0.5	4402.779	4413.355	3911.887	4439	
44	702321781	0.45	1	4247.274	4261.84	3891.393	4439	
45	230667609	0.3	0.25	4463.722	4463.35	3901.558	4439	
46	596476173	0.5	1	4293.097	4308.466	3902.531	4439	
47	213818438	0.85	1	5419.158	5356.691	4679.213	5332	
48	263700319	0.5	0.25	5229.485	5234.793	4675.385	5332	
49	177849449	0.5	1	4920.965	4933.998	4684.067	5332	
50	595542750	0.3	0.75	5304.767	5305.794	4681.699	5332	
51	600319687	0.35	1	4751.742	4767.898	4305.039	4845	
52	220119576	0.6	1	4858.707	4870.83	4627.471	5238	
53	198867744	0.4	1	4814.934	4827.502	4677.39	5332	
54	914504488	0.3	1	5089.294	5103.325	4664.121	5332	
55	221390427	0.3	1	5284.809	5289.188	4690.547	5332	
56	556534047	0.25	1	5012.622	5029.117	4681.307	5332	
57	976052482	0.35	1	4943.919	4956.725	4658.265	5305	
58	841791177	0.55	0.75	5076.419	5093.433	4677.045	5332	
59	593925499	0.35	1	5246.802	5259.766	4679.776	5332	
60	188984093	0.1	1	5294.177	5297.641	4679.023	5332	
61	277559361	0.4	0	5237.143	5251.384	4666.155	5332	
62	974675637	0.95	1	5076.573	5052.09	4454.048	5032	
63	980037857	0.3	1	4884.269	4893.585	4659.197	5332	
64	612518532	0.7	1	5268.472	5254.944	4621.01	5258	
65	717093728	0.2	1	5028.993	5045.908	4678.94	5332	
66	838149264	0.7	1	4946.21	4962.237	4694.792	5332	
67	102506192	0.35	1	4901.053	4916.405	4574.813	5165	
68	612691588	0.4	1	5179.598	5196.564	4685.539	5332	
69	258065439	0.15	0.25	5019.65	5019.259	4454.492	5062	
70	622371608	0.9	1	5356.148	5335.338	4679.336	5332	
71	652012342	0.1	1	5301.636	5302.758	4678.96	5332	
72	201544579	0.35	1	5273.337	5281.037	4685.692	5332	
73	22849068	0.8	0.5	5379.801	5345.411	4684.572	5332	
74	418127330	0.6	1	4761.905	4774.43	4600.359	5274	
75	231504060	0.15	1	5293.388	5293.937	4670.182	5318	
76	971692210	0.5	1	5197.953	5214.173	4687.416	5332	
77	929187034	0.5	0.75	5257.616	5265.786	4691.286	5332	
78	960612147	0.45	1	5081.636	5095.157	4674.004	5332	
79	949426708	0.1	0.25	4672.571	4676.807	4151.867	4614	
80	84100710	0.65	0.25	5323.225	5310.062	4664.266	5332	
81	38261714	0.6	0.25	5190.514	5204.879	4679.605	5332	
82	806023569	0.75	1	5157.822	5171.618	4682.334	5332	
83	650067544	0.7	1	5165.781	5176.391	4686.664	5332	
84	237525330	0.6	1	4817.047	4829.864	4674.774	5332	
85	277497793	0.3	0.5	5300.169	5302.005	4681.883	5332	
86	981201931	0.6	0.5	5261.913	5259.88	4664.71	5312	
87	720552074	0.4	1	5209.689	5224.749	4690.455	5332	
88	941343936	0.5	1	4954.86	4969.674	4687.123	5332	
89	8024456	0.25	0.75	5237.98	5249.867	4660.638	5306	
90	336707658	0.55	0.75	4860.944	4871.289	4602.563	5260	
91	580674347	0.2	1	3316.657	3329.703	3242.735	3721	
92	413661285	0.5	1	5240.56	5253.633	4691.576	5332	
93	798774205	0.3	1	4870.999	4884.225	4675.696	5332	
94	594735293	0.7	0	5417.241	5355.556	4719.06	5332	
95	279001541	0.55	0.25	5204.578	5219.921	4666.434	5332	
96	206223774	0.3	1	5198.231	5214.322	4676.184	5332	
97	246913872	0.2	1	5293.102	5296.689	4680.555	5332	
98	475700869	0.6	0.75	5133.006	5148.519	4678.061	5332	
99	472587756	0.55	1	4879.695	4890.114	4680.438	5330	
100	837237560	0.85	0.25	4612.291	4618.758	4133.071	4658	
101	272107715	0.85	0.25	5327.367	5315.016	4693.445	5332	
102	223718470	0.75	0.75	5214.835	5206.125	4616.178	5226	
103	963702312	0.65	1	4893.402	4908.005	4689.018	5332	
104	710934227	0.25	1	5213.367	5229.492	4665.756	5332	
105	923405328	0.55	1	4826.787	4839.238	4675.613	5332	
106	508428303	0.15	1	5284.372	5289.952	4677.888	5331	
107	385443804	0.35	1	4866.096	4879.884	4435.934	5016	
108	560664366	0.75	1	5303.927	5264.104	4615.535	5230	
109	210987598	0.75	1	5195.547	5184.803	4583.538	5170	
110	275878959	0.05	0.75	5305.345	5305.604	4680.173	5332	
111	928414550	0.5	1	5228.874	5242.602	4683.493	5332	
112	294504860	0.7	1	5228.184	5235.941	4690.714	5331	
113	737812204	0.45	1	5126.988	5142.936	4674.209	5332	
114	469189078	0.85	0.25	5379.63	5347.614	4695.526	5332	
115	710874796	0.1	1	5283.53	5289.607	4678.868	5331	
116	600846769	0.5	1	4937.828	4949.54	4687.9	5332	
117	683799283	0.7	0.25	5251.18	5258.344	4681.273	5332	
118	633003840	0.75	1	5198.787	5199.154	4613.646	5253	
119	417299128	0.8	0.5	5364.401	5336.719	4687.453	5332	
120	910122742	0.1	1	5306.424	5306.271	4680.697	5332	
121	512959368	0.35	1	5325.909	5315.627	4691.363	5329	
122	478372464	0.35	1	5140.873	5157.457	4666.645	5332	
123	686855590	0.3	0.75	5294.332	5297.672	4680.2	5332	
124	214324968	0.9	0.75	5051.804	5027.805	4412.513	5016	
125	282078886	0.15	1	5217.848	5233.271	4666.015	5332	
126	564668492	0.65	0.25	5280.179	5286.862	4698.716	5332	
127	477256516	0.3	0	5282.331	5289.965	4674.637	5332	
128	519574057	0.95	1	4728.312	4709.728	4134.639	4731	
129	261067167	0.3	0	5281.529	5288.728	4678.272	5332	
130	529201666	0.4	0.75	5205.143	5221.048	4672.71	5332	
131	283872596	0.15	0.75	5303.222	5304	4679.868	5332	
132	298748172	0.5	1	5051.941	5067.089	4668.736	5311	
133	846264919	0.6	0.75	5004.591	5021.16	4587.307	5191	
134	243664416	0.5	0.5	5187.706	5198.604	4662.111	5332	
135	260019595	0.4	0.75	5085.27	5100.02	4661.58	5332	
136	709931587	0.55	1	4806.197	4818.828	4670.458	5332	
137	861262911	0.65	0.25	5235.616	5245.487	4684.867	5332	
138	912179862	0.55	1	3858.346	3875.4	3727.041	4210	
139	291152380	0.45	0.25	5295.799	5298.724	4691.02	5332	
140	458099273	0.3	0.75	5242.334	5255.239	4677.188	5332	
141	494193959	0.45	0.75	5153.393	5156.937	4551.393	5200	
142	968098553	0.55	1	4959.49	4973.751	4684.371	5332	
143	551689616	0.4	1	4818.694	4831.619	4664.145	5332	
144	586482284	0.3	0.75	5286.695	5290.197	4677.322	5326	
145	486013509	0.25	0	5284.356	5291.073	4672.43	5332	
146	467177474	0.45	0	5217.034	5226.166	4664.131	5332	
147	751621216	0.2	1	5272.445	5281.06	4681.686	5332	
148	341661807	0.65	0	5367.054	5338.725	4675.273	5332	
149	490361276	0.25	1	5295.366	5298.589	4679.87	5332	
150	848598190	0.25	0.5	5303.155	5304.003	4680.728	5332	
151	230009531	0.5	0.75	5044.57	5056.93	4674.616	5332	
