workerid	byWords	condition	distractor_condition	item	noun	sentence	slide_number
0	[{'word': 'Dinosaurs', 'rt': 1644, 'correct': 'yes', 'region': 'Dinosaurs'}, {'word': 'ate', 'rt': 1246, 'correct': 'yes', 'region': 'ate'}, {'word': 'other', 'rt': 1375, 'correct': 'yes', 'region': 'other'}, {'word': 'reptiles', 'rt': 1271, 'correct': 'yes', 'region': 'reptiles'}, {'word': 'during', 'rt': 975, 'correct': 'yes', 'region': 'during'}, {'word': 'the', 'rt': 951, 'correct': 'yes', 'region': 'the'}, {'word': 'stone', 'rt': 1246, 'correct': 'yes', 'region': 'stone'}, {'word': 'age.', 'rt': 774, 'correct': 'yes', 'region': 'age.'}]	filler	NA	Filler_52	NA	Dinosaurs ate other reptiles during the stone age.	47
0	[{'word': 'The', 'rt': 739, 'correct': 'yes', 'region': 'The'}, {'word': 'passer-by', 'rt': 1168, 'correct': 'yes', 'region': 'passer-by'}, {'word': 'threw', 'rt': 1799, 'correct': 'yes', 'region': 'threw'}, {'word': 'the', 'rt': 926, 'correct': 'yes', 'region': 'the'}, {'word': 'cardboard', 'rt': 2063, 'correct': 'yes', 'region': 'cardboard'}, {'word': 'box', 'rt': 775, 'correct': 'yes', 'region': 'box'}, {'word': 'into', 'rt': 887, 'correct': 'yes', 'region': 'into'}, {'word': 'the', 'rt': 895, 'correct': 'yes', 'region': 'the'}, {'word': 'trash-can', 'rt': 1318, 'correct': 'yes', 'region': 'trash-can'}, {'word': 'with', 'rt': 1359, 'correct': 'yes', 'region': 'with'}, {'word': 'great', 'rt': 1023, 'correct': 'yes', 'region': 'great'}, {'word': 'force.', 'rt': 1439, 'correct': 'yes', 'region': 'force.'}]	filler	NA	Filler_45	NA	The passer-by threw the cardboard box into the trash-can with great force.	22
0	[{'word': 'The', 'rt': 818, 'correct': 'yes', 'region': 'The'}, {'word': 'roommate', 'rt': 1760, 'correct': 'yes', 'region': 'roommate'}, {'word': 'takes', 'rt': 1359, 'correct': 'yes', 'region': 'takes'}, {'word': 'out', 'rt': 983, 'correct': 'yes', 'region': 'out'}, {'word': 'the', 'rt': 807, 'correct': 'yes', 'region': 'the'}, {'word': 'garbage', 'rt': 1303, 'correct': 'yes', 'region': 'garbage'}, {'word': 'every', 'rt': 959, 'correct': 'yes', 'region': 'every'}, {'word': 'week.', 'rt': 783, 'correct': 'yes', 'region': 'week.'}]	filler	NA	Filler_3	NA	The roommate takes out the garbage every week.	23
0	[{'word': 'The', 'rt': 628, 'correct': 'yes', 'region': 'The'}, {'word': 'cook', 'rt': 1655, 'correct': 'yes', 'region': 'cook'}, {'word': 'who', 'rt': 943, 'correct': 'yes', 'region': 'who'}, {'word': 'the', 'rt': 1230, 'correct': 'yes', 'region': 'the'}, {'word': 'servant', 'rt': 1000, 'correct': 'yes', 'region': 'servant'}, {'word': 'in', 'rt': 1471, 'correct': 'yes', 'region': 'in'}, {'word': 'the', 'rt': 1183, 'correct': 'yes', 'region': 'the'}, {'word': 'kitchen', 'rt': 1375, 'correct': 'yes', 'region': 'kitchen'}, {'word': 'hired', 'rt': 1679, 'correct': 'yes', 'region': 'hired'}, {'word': 'offended', 'rt': 2703, 'correct': 'no', 'region': 'offended'}, {'word': 'the', 'rt': 1087, 'correct': 'yes', 'region': 'the'}, {'word': 'butler', 'rt': 1135, 'correct': 'yes', 'region': 'butler'}, {'word': 'and', 'rt': 854, 'correct': 'yes', 'region': 'and'}, {'word': 'then', 'rt': 1671, 'correct': 'yes', 'region': 'then'}, {'word': 'left', 'rt': 1680, 'correct': 'yes', 'region': 'left'}, {'word': 'the', 'rt': 1318, 'correct': 'yes', 'region': 'the'}, {'word': 'mansion', 'rt': 1478, 'correct': 'yes', 'region': 'mansion'}, {'word': 'early', 'rt': 1319, 'correct': 'yes', 'region': 'early'}, {'word': 'to', 'rt': 974, 'correct': 'yes', 'region': 'to'}, {'word': 'see', 'rt': 967, 'correct': 'yes', 'region': 'see'}, {'word': 'a', 'rt': 1159, 'correct': 'yes', 'region': 'a'}, {'word': 'movie', 'rt': 1054, 'correct': 'yes', 'region': 'movie'}, {'word': 'at', 'rt': 896, 'correct': 'yes', 'region': 'at'}, {'word': 'the', 'rt': 2191, 'correct': 'yes', 'region': 'the'}, {'word': 'local', 'rt': 943, 'correct': 'yes', 'region': 'local'}, {'word': 'theater.', 'rt': 1247, 'correct': 'yes', 'region': 'theater.'}]	filler	NA	Filler_55	NA	The cook who the servant in the kitchen hired offended the butler and then left the mansion early to see a movie at the local theater.	24
0	[{'word': 'The', 'rt': 690, 'correct': 'yes', 'region': 'The'}, {'word': 'trainee', 'rt': 1208, 'correct': 'yes', 'region': 'trainee'}, {'word': 'knew', 'rt': 1175, 'correct': 'no', 'region': 'knew'}, {'word': 'that', 'rt': 1119, 'correct': 'yes', 'region': 'that'}, {'word': 'the', 'rt': 710, 'correct': 'yes', 'region': 'the'}, {'word': 'task', 'rt': 1223, 'correct': 'yes', 'region': 'task'}, {'word': 'which', 'rt': 998, 'correct': 'yes', 'region': 'which'}, {'word': 'the', 'rt': 1174, 'correct': 'yes', 'region': 'the'}, {'word': 'director', 'rt': 2417, 'correct': 'yes', 'region': 'director'}, {'word': 'had', 'rt': 821, 'correct': 'yes', 'region': 'had'}, {'word': 'set', 'rt': 798, 'correct': 'yes', 'region': 'set'}, {'word': 'for', 'rt': 1535, 'correct': 'yes', 'region': 'for'}, {'word': 'him', 'rt': 711, 'correct': 'yes', 'region': 'him'}, {'word': 'was', 'rt': 879, 'correct': 'yes', 'region': 'was'}, {'word': 'impossible', 'rt': 1838, 'correct': 'yes', 'region': 'impossible'}, {'word': 'to', 'rt': 1206, 'correct': 'yes', 'region': 'to'}, {'word': 'finish', 'rt': 1007, 'correct': 'yes', 'region': 'finish'}, {'word': 'within', 'rt': 967, 'correct': 'yes', 'region': 'within'}, {'word': 'a', 'rt': 702, 'correct': 'yes', 'region': 'a'}, {'word': 'week.', 'rt': 863, 'correct': 'yes', 'region': 'week.'}]	filler	NA	Filler_25	NA	The trainee knew that the task which the director had set for him was impossible to finish within a week.	27
0	[{'word': 'The', 'rt': 825, 'correct': 'yes', 'region': 'The'}, {'word': 'biker', 'rt': 1272, 'correct': 'yes', 'region': 'biker'}, {'word': 'who', 'rt': 1343, 'correct': 'no', 'region': 'who'}, {'word': 'the', 'rt': 1183, 'correct': 'yes', 'region': 'the'}, {'word': 'police', 'rt': 919, 'correct': 'yes', 'region': 'police'}, {'word': 'arrested', 'rt': 1511, 'correct': 'yes', 'region': 'arrested'}, {'word': 'ran', 'rt': 1575, 'correct': 'yes', 'region': 'ran'}, {'word': 'a', 'rt': 775, 'correct': 'yes', 'region': 'a'}, {'word': 'light', 'rt': 1222, 'correct': 'yes', 'region': 'light'}, {'word': 'since', 'rt': 2151, 'correct': 'yes', 'region': 'since'}, {'word': 'he', 'rt': 782, 'correct': 'yes', 'region': 'he'}, {'word': 'was', 'rt': 2136, 'correct': 'yes', 'region': 'was'}, {'word': 'driving', 'rt': 1471, 'correct': 'yes', 'region': 'driving'}, {'word': 'under', 'rt': 1111, 'correct': 'yes', 'region': 'under'}, {'word': 'the', 'rt': 774, 'correct': 'yes', 'region': 'the'}, {'word': 'influence', 'rt': 1031, 'correct': 'yes', 'region': 'influence'}, {'word': 'of', 'rt': 808, 'correct': 'yes', 'region': 'of'}, {'word': 'alcohol.', 'rt': 903, 'correct': 'yes', 'region': 'alcohol.'}]	filler	NA	Filler_46	NA	The biker who the police arrested ran a light since he was driving under the influence of alcohol.	28
0	[{'word': 'The', 'rt': 694, 'correct': 'yes', 'region': 'The'}, {'word': 'dragon', 'rt': 1384, 'correct': 'yes', 'region': 'dragon'}, {'word': 'wounded', 'rt': 1366, 'correct': 'yes', 'region': 'wounded'}, {'word': 'the', 'rt': 639, 'correct': 'yes', 'region': 'the'}, {'word': 'knight', 'rt': 807, 'correct': 'yes', 'region': 'knight'}, {'word': 'although', 'rt': 823, 'correct': 'yes', 'region': 'although'}, {'word': 'he', 'rt': 1319, 'correct': 'yes', 'region': 'he'}, {'word': 'was', 'rt': 887, 'correct': 'yes', 'region': 'was'}, {'word': 'far', 'rt': 806, 'correct': 'yes', 'region': 'far'}, {'word': 'too', 'rt': 903, 'correct': 'yes', 'region': 'too'}, {'word': 'crippled', 'rt': 1736, 'correct': 'yes', 'region': 'crippled'}, {'word': 'to', 'rt': 879, 'correct': 'yes', 'region': 'to'}, {'word': 'protect', 'rt': 1183, 'correct': 'yes', 'region': 'protect'}, {'word': 'the', 'rt': 807, 'correct': 'yes', 'region': 'the'}, {'word': 'princess.', 'rt': 1399, 'correct': 'yes', 'region': 'princess.'}]	filler	NA	Filler_4	NA	The dragon wounded the knight although he was far too crippled to protect the princess.	45
0	[{'word': 'The', 'rt': 606, 'correct': 'yes', 'region': 'The'}, {'word': 'librarian', 'rt': 1008, 'correct': 'yes', 'region': 'librarian'}, {'word': 'put', 'rt': 1334, 'correct': 'yes', 'region': 'put'}, {'word': 'the', 'rt': 990, 'correct': 'yes', 'region': 'the'}, {'word': 'book', 'rt': 862, 'correct': 'yes', 'region': 'book'}, {'word': 'onto', 'rt': 710, 'correct': 'yes', 'region': 'onto'}, {'word': 'the', 'rt': 1086, 'correct': 'yes', 'region': 'the'}, {'word': 'shelf.', 'rt': 790, 'correct': 'yes', 'region': 'shelf.'}]	filler	NA	Filler_15	NA	The librarian put the book onto the shelf.	48
0	[{'word': 'The', 'rt': 1028, 'correct': 'yes', 'region': 'The'}, {'word': 'surgeon', 'rt': 1399, 'correct': 'yes', 'region': 'surgeon'}, {'word': 'who', 'rt': 774, 'correct': 'yes', 'region': 'who'}, {'word': 'the', 'rt': 1190, 'correct': 'yes', 'region': 'the'}, {'word': 'detective', 'rt': 3983, 'correct': 'yes', 'region': 'detective'}, {'word': 'who', 'rt': 1215, 'correct': 'yes', 'region': 'who'}, {'word': 'was', 'rt': 999, 'correct': 'yes', 'region': 'was'}, {'word': 'on', 'rt': 1262, 'correct': 'no', 'region': 'on'}, {'word': 'the', 'rt': 1393, 'correct': 'yes', 'region': 'the'}, {'word': 'case', 'rt': 1150, 'correct': 'yes', 'region': 'case'}, {'word': 'consulted', 'rt': 1919, 'correct': 'yes', 'region': 'consulted'}, {'word': 'questioned', 'rt': 4127, 'correct': 'yes', 'region': 'questioned'}, {'word': 'the', 'rt': 1006, 'correct': 'yes', 'region': 'the'}, {'word': 'coroner', 'rt': 1345, 'correct': 'yes', 'region': 'coroner'}, {'word': 'because', 'rt': 1158, 'correct': 'yes', 'region': 'because'}, {'word': 'the', 'rt': 926, 'correct': 'yes', 'region': 'the'}, {'word': 'markings', 'rt': 2238, 'correct': 'yes', 'region': 'markings'}, {'word': 'on', 'rt': 958, 'correct': 'yes', 'region': 'on'}, {'word': 'the', 'rt': 782, 'correct': 'yes', 'region': 'the'}, {'word': 'body', 'rt': 839, 'correct': 'yes', 'region': 'body'}, {'word': 'were', 'rt': 1151, 'correct': 'yes', 'region': 'were'}, {'word': 'difficult', 'rt': 1295, 'correct': 'yes', 'region': 'difficult'}, {'word': 'to', 'rt': 743, 'correct': 'yes', 'region': 'to'}, {'word': 'explain.', 'rt': 918, 'correct': 'yes', 'region': 'explain.'}]	filler	NA	Filler_36	NA	The surgeon who the detective who was on the case consulted questioned the coroner because the markings on the body were difficult to explain.	16
0	[{'word': 'The', 'rt': 666, 'correct': 'yes', 'region': 'The'}, {'word': 'office-worker', 'rt': 2064, 'correct': 'yes', 'region': 'office-worker'}, {'word': 'worked', 'rt': 1591, 'correct': 'yes', 'region': 'worked'}, {'word': 'through', 'rt': 1135, 'correct': 'yes', 'region': 'through'}, {'word': 'the', 'rt': 847, 'correct': 'yes', 'region': 'the'}, {'word': 'stack', 'rt': 2767, 'correct': 'yes', 'region': 'stack'}, {'word': 'of', 'rt': 708, 'correct': 'yes', 'region': 'of'}, {'word': 'files', 'rt': 1108, 'correct': 'yes', 'region': 'files'}, {'word': 'on', 'rt': 855, 'correct': 'yes', 'region': 'on'}, {'word': 'his', 'rt': 1255, 'correct': 'yes', 'region': 'his'}, {'word': 'desk', 'rt': 855, 'correct': 'yes', 'region': 'desk'}, {'word': 'quickly.', 'rt': 1198, 'correct': 'yes', 'region': 'quickly.'}]	filler	NA	Filler_5	NA	The office-worker worked through the stack of files on his desk quickly.	29
